year,exports,imports,travel_mx,travel_can
1996,54685865249,72963189408,276751448,153038903
1997,68393219447,85872344740,348661488,145512710
1998,75369300051,94708666043,366296614,142291790
1999,81380740167,1.10E+11,391959396,146497328
2000,1.00E+11,1.36E+11,392231869,147789673
2001,90537433805,1.31E+11,362991511,130092391
2002,86076081837,1.35E+11,352870123,122832695
2003,83108095962,1.38E+11,343654239,112738414
2004,93017703250,1.56E+11,343524676,114695622
2005,1.02E+11,1.70E+11,336990567,113243701
2006,1.15E+11,1.98E+11,327588026,112707996
2007,1.19E+11,2.11E+11,310095754,107491421
2008,1.32E+11,2.16E+11,295921230,103980803
2009,1.06E+11,1.77E+11,264450245,95001517
2010,1.32E+11,2.30E+11,242776894,101469642
2011,1.60E+11,2.63E+11,225541089,106684911
2012,1.75E+11,2.78E+11,232999664,111504252
2013,1.82E+11,2.81E+11,243982227,112236211
2014,1.93E+11,2.96E+11,254746277,108567839
2015,1.86E+11,2.96E+11,267663436,97556562
2016,1.77E+11,2.94E+11,273532405,93951778
2017,1.87E+11,3.13E+11,278703002,94268274
2018,2.04E+11,3.46E+11,283743197,95414333
2019,1.96E+11,3.58E+11,275538145,94662104
