year,exports,imports,travel
1996,54685865249,72963189408,276751448
1997,68393219447,85872344740,348661488
1998,75369300051,94708666043,366296614
1999,81380740167,1.09706E+11,391959396
2000,1.00E+11,1.35911E+11,392231869
2001,90537433805,1.31433E+11,362991511
2002,86076081837,1.34732E+11,352870123
2003,83108095962,1.38073E+11,343654239
2004,93017703250,1.55846E+11,343524676
2005,1.02E+11,1.70198E+11,336990567
2006,1.15E+11,1.98259E+11,327588026
2007,1.19E+11,2.10799E+11,310095754
2008,1.32E+11,2.15915E+11,295921230
2009,1.06E+11,1.76537E+11,264450245
2010,1.32E+11,2.29986E+11,242776894
2011,1.60E+11,2.62874E+11,225541089
2012,1.75E+11,2.77594E+11,232999664
2013,1.82E+11,2.80556E+11,243982227
2014,1.93E+11,2.9573E+11,254746277
2015,1.86E+11,2.96433E+11,267663436
2016,1.77E+11,2.93501E+11,273532405
2017,1.87E+11,3.12809E+11,278703002
2018,2.04E+11,3.46101E+11,283743197
2019,1.96E+11,3.58126E+11,275538145
,,,
